Buster+G.O.B.,Buster+George_Michael,Buster+George,Buster+Lindsay,Buster+Lucille,Buster+Maeby,Buster+Michael,Buster+Oscar,Buster+Tobias,G.O.B.+George_Michael,G.O.B.+George,G.O.B.+Lindsay,G.O.B.+Lucille,G.O.B.+Maeby,G.O.B.+Michael,G.O.B.+Oscar,G.O.B.+Tobias,George_Michael+Lindsay,George_Michael+Lucille,George_Michael+Maeby,George_Michael+Michael,George_Michael+Oscar,George_Michael+Tobias,George+George_Michael,George+Lindsay,George+Lucille,George+Maeby,George+Michael,George+Oscar,George+Tobias,Lindsay+Lucille,Lindsay+Maeby,Lindsay+Michael,Lindsay+Oscar,Lindsay+Tobias,Lucille+Maeby,Lucille+Michael,Lucille+Oscar,Lucille+Tobias,Maeby+Michael,Maeby+Oscar,Maeby+Tobias,Michael+Oscar,Michael+Tobias,Oscar+Tobias,episode,title_y,rating,numVotes
4.0,1.0,1.0,2.0,6.0,0.0,6.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,8.0,0.0,1.0,3.0,1.0,4.0,2.0,0.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Marta_Complex,Marta Complex,8.5,1793.0
2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Beef_Consomm%C3%A9,Beef Consomme,8.5,1782.0
0.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Shock_and_Aww,Shock and Aww,8.6,1834.0
6.0,1.0,0.0,4.0,3.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Staff_Infection,Staff Infection,8.3,1733.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Altar_Egos,Altar Egos,8.6,1751.0
1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,3.0,1.0,8.0,0.0,4.0,2.0,0.0,8.0,4.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Justice_Is_Blind,Justice Is Blind,8.8,1797.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,4.0,1.0,14.0,0.0,0.0,4.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,9.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Missing_Kitty,Missing Kitty,8.4,1671.0
6.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,8.0,0.0,2.0,0.0,8.0,0.0,2.0,3.0,1.0,4.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,4.0,0.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,5.0,0.0,10.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Best_Man_for_the_Gob,Best Man for the Gob,8.2,1664.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,2.0,7.0,2.0,0.0,7.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,2.0,6.0,1.0,3.0,0.0,12.0,2.0,0.0,1.0,1.0,1.0,4.0,8.0,2.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Whistler%27s_Mother,Whistler's Mother,8.1,1644.0
0.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,9.0,0.0,6.0,0.0,3.0,8.0,0.0,7.0,3.0,0.0,2.0,9.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,4.0,0.0,4.0,4.0,0.0,16.0,0.0,4.0,1.0,7.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Not_Without_My_Daughter,Not Without My Daughter,8.7,1673.0
